Employee Id,Department,Region,Education,Gender,Recruitment_Channel,No_Of_Trainings,Age,Age Group,Previous_Year_Rating,Length_Of_Service,Kpis_Met >80%,Awards_Won?,Avg_Training_Score,Training Score Group,Is_Promoted
65438,Sales & Marketing,Region_7,Master'S & Above,F,Sourcing,1,35,30-40,5,8,1,0,49,40-60,0
65141,Operations,Region_22,Bachelor'S,M,Other,1,30,30-40,5,4,0,0,60,40-60,0
7513,Sales & Marketing,Region_19,Bachelor'S,M,Sourcing,1,34,30-40,3,7,0,0,50,40-60,0
2542,Sales & Marketing,Region_23,Bachelor'S,M,Other,2,39,30-40,1,10,0,0,50,40-60,0
48945,Technology,Region_26,Bachelor'S,M,Other,1,45,40-50,3,2,0,0,73,60-80,0
58896,Analytics,Region_2,Bachelor'S,M,Sourcing,2,31,30-40,3,7,0,0,85,>80,0
20379,Operations,Region_20,Bachelor'S,F,Other,1,31,30-40,3,5,0,0,59,40-60,0
16290,Operations,Region_34,Master'S & Above,M,Sourcing,1,33,30-40,3,6,0,0,63,60-80,0
73202,Analytics,Region_20,Bachelor'S,M,Other,1,28,20-30,4,5,0,0,83,>80,0
28911,Sales & Marketing,Region_1,Master'S & Above,M,Sourcing,1,32,30-40,5,5,1,0,54,40-60,0
49017,Sales & Marketing,Region_7,Bachelor'S,F,Sourcing,1,35,30-40,5,3,1,0,50,40-60,1
60051,Sales & Marketing,Region_4,Bachelor'S,M,Sourcing,1,49,40-50,5,5,1,0,49,40-60,0
38401,Technology,Region_29,Master'S & Above,M,Other,2,39,30-40,3,16,0,0,80,60-80,0
77040,R&D,Region_2,Master'S & Above,M,Sourcing,1,37,30-40,3,7,0,0,84,>80,0
43931,Operations,Region_7,Bachelor'S,M,Other,1,37,30-40,1,10,0,0,60,40-60,0
7152,Technology,Region_2,Bachelor'S,M,Other,1,38,30-40,3,5,1,0,77,60-80,0
9403,Sales & Marketing,Region_31,Bachelor'S,M,Other,1,34,30-40,1,4,0,0,51,40-60,0
17436,Sales & Marketing,Region_31,Bachelor'S,M,Other,1,34,30-40,5,8,1,0,46,40-60,0
54461,Operations,Region_15,Bachelor'S,M,Other,1,37,30-40,3,9,0,0,59,40-60,0
12067,Procurement,Region_14,Bachelor'S,M,Other,1,35,30-40,3,7,0,0,75,60-80,0
58789,Finance,Region_11,Bachelor'S,F,Other,1,28,20-30,3,4,0,0,63,60-80,0
52057,Finance,Region_22,Master'S & Above,M,Sourcing,2,39,30-40,5,7,0,0,59,40-60,0
26585,Technology,Region_22,Bachelor'S,M,Other,1,27,20-30,5,3,1,0,83,>80,0
37749,Procurement,Region_26,Bachelor'S,M,Other,1,31,30-40,5,4,1,0,68,60-80,0
2370,Technology,Region_26,Bachelor'S,M,Other,1,33,30-40,4,4,0,0,79,60-80,0
8219,Analytics,Region_5,Bachelor'S,M,Other,1,29,20-30,5,3,1,0,80,60-80,0
27395,Procurement,Region_15,Bachelor'S,M,Sourcing,1,37,30-40,5,10,1,0,72,60-80,0
58536,Finance,Region_31,Bachelor'S,M,Other,2,26,20-30,1,2,0,0,61,60-80,0
51756,Operations,Region_2,Bachelor'S,M,Sourcing,2,57,50-60,4,6,0,0,58,40-60,0
57011,Analytics,Region_22,Bachelor'S,M,Other,2,27,20-30,5,3,1,0,87,>80,0
77064,Sales & Marketing,Region_22,Bachelor'S,M,Other,1,40,40-50,2,4,1,0,47,40-60,0
64062,Technology,Region_28,Bachelor'S,M,Sourcing,1,33,30-40,4,4,1,0,75,60-80,0
47123,Sales & Marketing,Region_7,Bachelor'S,F,Sourcing,1,40,40-50,5,3,0,0,47,40-60,0
56275,Sales & Marketing,Region_1,Master'S & Above,M,Other,1,42,40-50,5,5,1,0,51,40-60,0
58304,Sales & Marketing,Region_28,Bachelor'S,M,Sourcing,1,33,30-40,5,6,1,0,51,40-60,1
25014,Technology,Region_15,Bachelor'S,M,Other,1,34,30-40,3,10,0,0,80,60-80,0
40097,Operations,Region_2,Bachelor'S,F,Other,2,23,20-30,4,2,1,0,57,40-60,0
23560,Hr,Region_2,Bachelor'S,M,Sourcing,1,59,50-60,4,26,1,0,52,40-60,0
61758,Analytics,Region_2,Bachelor'S,M,Other,1,44,40-50,5,12,0,0,88,>80,0
75009,Procurement,Region_17,Bachelor'S,F,Sourcing,1,50,50-60,5,11,0,0,71,60-80,0
17876,Procurement,Region_13,Master'S & Above,F,Other,1,37,30-40,4,4,0,0,71,60-80,0
36924,Technology,Region_16,Bachelor'S,M,Sourcing,1,40,40-50,3,11,0,0,80,60-80,0
50408,Sales & Marketing,Region_20,Bachelor'S,M,Sourcing,1,30,30-40,3,3,1,0,49,40-60,0
18013,Procurement,Region_2,Master'S & Above,F,Sourcing,1,56,50-60,3,12,0,0,73,60-80,0
24104,Finance,Region_2,Bachelor'S,M,Sourcing,1,20,20-30,4,2,1,0,60,40-60,0
32083,Sales & Marketing,Region_25,Bachelor'S,F,Sourcing,1,31,30-40,3,8,0,0,48,40-60,0
38330,Procurement,Region_15,Bachelor'S,M,Sourcing,1,40,40-50,3,12,1,0,65,60-80,0
33690,Hr,Region_22,Bachelor'S,M,Other,1,30,30-40,1,6,0,0,50,40-60,0
73161,Operations,Region_22,Bachelor'S,M,Other,1,39,30-40,3,5,1,0,62,60-80,0
13596,Analytics,Region_31,Bachelor'S,M,Other,2,26,20-30,2,2,0,0,85,>80,0
32709,R&D,Region_22,Master'S & Above,M,Sourcing,1,40,40-50,3,5,1,0,84,>80,0
32656,Sales & Marketing,Region_19,Bachelor'S,M,Other,1,40,40-50,4,7,0,0,52,40-60,0
17673,Sales & Marketing,Region_4,Master'S & Above,M,Other,1,50,50-60,4,17,1,0,47,40-60,1
3113,Sales & Marketing,Region_29,Bachelor'S,M,Sourcing,1,25,20-30,3,3,0,0,53,40-60,0
14107,Sales & Marketing,Region_1,Master'S & Above,M,Sourcing,1,35,30-40,4,2,1,0,52,40-60,0
58747,R&D,Region_26,Bachelor'S,M,Other,1,34,30-40,5,5,0,0,87,>80,0
3342,Operations,Region_13,Master'S & Above,F,Sourcing,1,31,30-40,3,3,1,0,58,40-60,0
73729,Procurement,Region_10,Bachelor'S,M,Other,1,30,30-40,4,6,1,0,75,60-80,0
45624,Analytics,Region_31,Bachelor'S,M,Other,1,30,30-40,3,7,1,0,84,>80,1
75677,Operations,Region_22,Bachelor'S,F,Other,1,50,50-60,5,5,1,0,59,40-60,0
24040,Technology,Region_22,Master'S & Above,M,Other,1,34,30-40,5,7,1,0,78,60-80,1
68082,Sales & Marketing,Region_2,Master'S & Above,F,Sourcing,1,41,40-50,1,12,0,0,52,40-60,0
51786,Sales & Marketing,Region_16,Bachelor'S,M,Sourcing,1,32,30-40,4,6,0,0,44,40-60,0
77577,Sales & Marketing,Region_7,Bachelor'S,M,Other,1,50,50-60,3,14,0,0,52,40-60,0
54782,Sales & Marketing,Region_2,Master'S & Above,M,Sourcing,1,38,30-40,4,2,1,0,49,40-60,1
52368,Sales & Marketing,Region_27,Bachelor'S,M,Sourcing,2,29,20-30,1,5,0,0,51,40-60,0
75103,Sales & Marketing,Region_30,Bachelor'S,M,Sourcing,1,35,30-40,4,3,1,0,53,40-60,0
7520,Analytics,Region_2,Bachelor'S,M,Other,1,25,20-30,3,2,1,0,91,>80,0
